avg_mouse_speed,mouse_path_entropy,click_delay,task_completion_time,idle_time,label
0.329,0.587,1.221,4.664,0.484,1
0.482,0.336,1.639,3.099,0.984,1
0.758,0.76,2.496,2.072,0.455,1
0.879,0.483,0.76,3.563,0.96,1
0.551,0.506,2.491,5.398,0.522,1
0.835,0.833,1.504,3.985,1.281,1
0.661,0.455,2.264,2.207,1.308,1
0.344,0.338,2.06,3.329,0.403,1
0.969,0.348,0.903,3.464,0.659,1
0.845,0.72,1.357,4.317,1.377,1
1.088,0.621,1.376,2.049,0.68,1
0.606,0.769,2.342,5.331,0.808,1
0.645,0.836,1.015,4.712,0.549,1
0.654,0.553,0.63,4.423,0.727,1
0.871,0.598,0.648,4.011,1.465,1
0.887,0.455,2.482,3.361,1.438,1
0.726,0.449,1.292,2.434,1.363,1
1.197,0.666,1.4,2.325,0.926,1
1.008,0.64,2.385,2.239,1.332,1
0.81,0.744,1.433,2.279,0.623,1
0.742,0.596,1.533,5.118,1.391,1
1.06,0.524,0.935,2.142,0.454,1
1.103,0.549,1.229,2.5,1.183,1
1.118,0.57,1.507,5.522,0.715,1
1.016,0.446,1.25,4.083,0.581,1
1.163,0.735,2.397,3.723,0.305,1
0.602,0.276,1.083,3.101,0.622,1
0.474,0.348,0.729,2.658,0.22,1
1.025,0.518,0.922,2.331,0.248,1
0.488,0.301,1.586,3.578,1.031,1
0.822,0.478,1.249,2.388,0.454,1
0.682,0.397,0.84,4.434,0.35,1
0.601,0.544,2.148,2.245,1.133,1
0.707,0.795,1.729,4.539,0.387,1
1.086,0.435,2.301,3.842,0.752,1
0.819,0.632,0.753,3.374,0.717,1
0.325,0.55,2.336,3.031,1.261,1
0.457,0.423,0.844,4.425,0.33,1
0.434,0.274,1.697,4.427,0.909,1
1.161,0.364,1.899,2.543,1.082,1
0.561,0.568,1.116,4.805,0.366,1
1.104,0.638,1.182,4.504,0.201,1
0.65,0.419,1.405,3.899,1.16,1
0.453,0.551,1.01,4.644,0.785,1
0.659,0.258,1.394,3.135,0.703,1
1.145,0.828,1.509,5.768,0.233,1
0.72,0.635,1.366,3.321,1.45,1
0.772,0.521,1.323,3.353,1.231,1
0.953,0.377,0.713,2.245,1.445,1
0.849,0.811,1.276,5.482,1.304,1
0.983,0.413,0.935,3.513,1.42,1
0.59,0.634,0.664,5.659,1.055,1
0.826,0.819,1.736,3.673,1.042,1
1.191,0.678,0.644,4.437,1.01,1
0.863,0.303,2.195,5.358,0.318,1
1.157,0.339,1.715,2.124,1.425,1
0.58,0.384,0.817,4.804,0.228,1
0.777,0.298,1.486,5.963,0.907,1
0.345,0.814,2.203,3.461,0.604,1
0.515,0.74,2.404,4.07,1.49,1
0.92,0.674,2.383,5.415,0.94,1
0.918,0.666,1.452,5.737,1.348,1
0.735,0.322,1.252,4.025,0.253,1
1.125,0.644,1.985,4.177,0.803,1
1.014,0.372,1.05,3.59,0.315,1
1.157,0.433,1.87,3.518,1.235,1
1.0,0.754,0.991,5.649,1.44,1
1.001,0.456,1.097,5.097,0.57,1
1.008,0.687,0.603,3.543,1.186,1
0.679,0.6,1.459,2.363,0.761,1
0.698,0.679,2.32,2.53,0.228,1
0.928,0.841,1.795,2.852,0.312,1
0.567,0.725,0.985,3.408,1.167,1
1.168,0.586,0.608,2.683,1.116,1
0.877,0.421,2.492,2.99,0.987,1
0.979,0.673,1.283,2.383,1.407,1
0.787,0.436,0.692,3.652,1.499,1
0.687,0.329,1.019,5.014,0.415,1
0.568,0.611,2.324,3.775,1.295,1
1.139,0.702,1.712,4.178,0.927,1
1.132,0.392,1.76,5.579,0.5,1
0.957,0.563,0.783,5.362,1.115,1
0.474,0.404,1.364,5.867,0.44,1
0.938,0.303,1.057,2.221,1.06,1
0.502,0.569,2.349,4.152,0.604,1
0.458,0.48,0.673,3.616,0.862,1
1.079,0.764,1.03,3.694,0.237,1
0.373,0.504,1.372,4.622,0.364,1
0.842,0.396,2.218,3.971,0.495,1
0.786,0.745,0.828,3.951,0.78,1
1.038,0.269,0.889,5.729,0.524,1
0.8,0.754,1.757,5.996,0.637,1
1.038,0.689,1.08,4.106,0.859,1
0.799,0.397,0.977,5.909,1.453,1
0.881,0.755,2.475,2.087,0.847,1
0.647,0.327,0.985,2.518,0.677,1
0.97,0.678,0.852,5.272,1.05,1
1.072,0.501,1.304,3.099,0.748,1
1.049,0.432,2.361,3.258,1.202,1
1.144,0.691,1.788,4.357,0.591,1
0.526,0.53,0.884,2.862,1.49,1
0.378,0.617,0.862,5.001,0.883,1
1.187,0.718,2.274,2.349,0.353,1
0.475,0.643,1.375,2.043,1.114,1
0.883,0.648,2.099,2.929,1.188,1
1.1,0.459,0.693,2.065,1.111,1
0.415,0.624,1.157,5.146,0.482,1
0.614,0.482,2.008,3.737,1.362,1
0.308,0.815,1.81,5.646,1.001,1
0.759,0.536,0.795,2.489,0.331,1
0.62,0.597,2.285,5.386,1.184,1
0.721,0.545,2.187,3.819,1.151,1
1.17,0.512,1.086,5.72,0.561,1
0.789,0.383,1.651,3.28,0.359,1
1.151,0.276,2.277,2.384,1.012,1
1.095,0.846,2.152,5.522,0.896,1
0.488,0.71,0.652,2.848,1.423,1
0.919,0.648,1.892,2.282,1.33,1
1.163,0.541,0.701,2.066,1.375,1
0.887,0.608,1.113,4.255,1.359,1
0.486,0.624,2.186,2.057,1.17,1
0.883,0.393,1.967,4.674,0.5,1
0.682,0.439,2.15,2.24,1.095,1
0.84,0.563,1.691,4.875,0.819,1
0.493,0.29,0.655,4.41,1.448,1
1.129,0.354,0.683,3.841,0.352,1
0.762,0.318,1.582,3.121,0.694,1
0.915,0.355,1.656,5.15,0.849,1
0.91,0.261,1.118,3.53,1.32,1
0.701,0.315,2.049,3.437,0.974,1
0.491,0.372,2.247,4.051,1.402,1
0.681,0.72,1.437,4.33,0.286,1
0.569,0.36,2.089,4.93,1.229,1
0.79,0.339,0.646,5.644,1.409,1
1.031,0.62,1.974,5.408,0.218,1
0.742,0.432,0.602,4.769,1.452,1
0.546,0.691,1.803,5.179,0.404,1
0.908,0.436,1.995,2.857,0.463,1
0.889,0.613,2.046,3.165,1.029,1
0.834,0.263,2.158,2.297,1.157,1
0.94,0.605,1.4,2.707,0.566,1
0.908,0.72,2.35,5.403,0.563,1
1.002,0.419,2.176,2.395,0.837,1
0.413,0.493,2.126,4.596,1.074,1
0.852,0.269,2.351,5.231,0.514,1
0.647,0.677,1.764,3.175,0.537,1
0.869,0.582,0.727,5.666,0.817,1
0.722,0.745,0.837,4.84,0.669,1
0.73,0.806,1.703,3.33,0.3,1
1.086,0.349,2.256,4.088,0.278,1
0.392,0.257,1.303,4.054,1.149,1
0.524,0.26,1.935,4.265,0.578,1
0.963,0.827,2.462,2.231,0.511,1
1.165,0.816,1.307,2.752,0.379,1
0.792,0.416,1.797,4.541,0.317,1
0.426,0.79,1.872,5.468,0.785,1
0.496,0.46,2.006,2.715,1.317,1
0.313,0.627,2.122,2.578,1.083,1
1.18,0.385,1.415,5.516,0.478,1
0.477,0.566,1.533,2.367,1.092,1
0.402,0.602,0.965,2.45,1.314,1
0.507,0.478,1.891,4.005,0.381,1
0.616,0.308,0.865,2.811,0.461,1
0.884,0.313,2.045,2.501,1.265,1
0.679,0.377,1.703,3.147,0.371,1
0.831,0.255,0.909,3.319,0.555,1
0.609,0.588,1.688,5.079,0.411,1
0.317,0.511,1.118,4.868,0.975,1
1.013,0.366,1.421,5.914,0.785,1
1.158,0.685,1.548,4.645,1.416,1
0.463,0.265,2.378,5.301,0.507,1
0.833,0.371,2.203,5.718,1.322,1
0.856,0.651,1.575,3.241,1.256,1
1.051,0.541,1.913,2.979,0.835,1
0.378,0.454,1.198,4.993,0.33,1
0.713,0.362,2.168,2.203,0.665,1
0.541,0.344,1.066,5.111,0.234,1
1.128,0.419,2.134,4.283,0.841,1
0.928,0.258,2.042,2.628,1.188,1
0.422,0.804,1.284,4.039,1.14,1
0.4,0.397,1.779,4.538,0.767,1
1.139,0.431,1.209,4.584,1.09,1
0.725,0.623,1.044,3.107,0.951,1
0.392,0.48,1.882,3.795,1.273,1
0.529,0.425,0.756,2.341,0.603,1
0.729,0.771,2.287,3.258,0.939,1
1.086,0.329,0.774,5.129,1.386,1
0.607,0.455,0.969,5.798,0.398,1
0.886,0.75,1.496,2.131,0.568,1
0.458,0.795,2.149,2.896,1.331,1
0.307,0.662,0.693,2.36,0.964,1
0.764,0.822,1.839,2.67,0.433,1
0.842,0.589,2.268,5.729,0.96,1
1.171,0.541,1.133,3.248,1.21,1
1.117,0.67,1.804,2.105,1.073,1
0.919,0.489,2.017,3.98,0.616,1
0.776,0.732,0.705,5.538,0.41,1
0.778,0.422,1.854,4.117,0.394,1
0.382,0.781,1.88,3.58,0.8,1
0.858,0.322,2.408,5.518,1.466,1
0.512,0.756,0.82,5.076,0.252,1
0.638,0.489,1.894,4.14,0.47,1
0.986,0.266,0.91,2.1,0.62,1
1.181,0.353,2.263,5.639,0.371,1
0.596,0.465,0.988,2.164,1.391,1
0.404,0.335,1.109,4.084,1.177,1
0.843,0.716,2.319,5.671,0.231,1
0.478,0.801,0.961,4.121,0.909,1
0.827,0.31,2.46,4.847,0.636,1
0.771,0.489,2.125,2.664,0.599,1
0.578,0.556,2.197,2.006,1.478,1
1.02,0.612,1.628,4.263,0.733,1
0.74,0.442,2.049,5.906,0.483,1
1.066,0.565,0.864,3.083,0.861,1
0.677,0.383,1.367,2.268,0.644,1
0.821,0.315,1.116,5.967,0.757,1
0.989,0.403,2.272,2.359,1.337,1
0.318,0.259,1.692,2.65,0.373,1
1.062,0.722,0.833,3.773,1.244,1
0.678,0.295,2.242,4.169,1.178,1
0.703,0.667,0.976,5.614,0.439,1
0.841,0.365,1.639,3.478,1.027,1
1.169,0.827,2.278,4.048,0.374,1
0.91,0.429,0.66,3.318,1.132,1
0.372,0.59,0.85,3.043,0.276,1
0.45,0.571,2.497,4.703,1.481,1
0.947,0.635,1.139,2.537,0.867,1
1.135,0.654,1.601,4.877,0.996,1
0.8,0.441,1.163,2.122,0.859,1
0.311,0.569,1.343,5.698,0.406,1
0.985,0.477,1.983,2.203,1.031,1
0.434,0.281,1.827,5.463,1.469,1
0.369,0.45,2.005,2.822,0.267,1
0.862,0.296,2.143,4.407,0.634,1
0.546,0.707,0.846,4.052,0.89,1
0.39,0.434,1.639,5.028,0.404,1
1.177,0.287,1.831,5.186,0.852,1
1.045,0.353,1.117,4.279,0.271,1
1.126,0.713,1.424,4.702,0.222,1
0.459,0.473,0.878,3.853,1.275,1
0.302,0.296,1.264,3.196,0.46,1
0.526,0.727,1.735,3.386,1.06,1
1.051,0.34,2.07,4.957,0.835,1
0.458,0.471,1.203,4.985,1.408,1
0.564,0.768,1.783,2.373,0.355,1
0.788,0.614,0.624,2.431,0.759,1
0.478,0.766,1.989,3.675,0.506,1
0.528,0.798,2.141,3.736,1.168,1
0.777,0.601,1.983,4.143,1.492,1
1.104,0.544,2.386,5.252,1.462,1
0.832,0.44,1.601,5.656,1.246,1
0.558,0.642,2.438,2.63,0.951,1
0.585,0.72,1.918,3.734,0.431,1
1.162,0.81,2.044,4.499,0.601,1
1.037,0.403,2.183,2.06,0.81,1
0.573,0.339,0.957,2.601,0.814,1
1.069,0.585,2.141,5.538,1.319,1
0.842,0.442,2.309,2.524,1.343,1
0.939,0.303,2.214,5.423,0.744,1
0.647,0.659,2.049,2.967,0.345,1
0.406,0.471,1.222,3.261,1.316,1
0.977,0.439,1.5,3.067,0.368,1
0.546,0.353,1.715,2.934,0.874,1
1.046,0.847,0.916,2.947,0.552,1
0.748,0.253,0.932,4.475,0.227,1
0.85,0.763,0.621,5.813,0.88,1
1.029,0.757,2.232,5.456,0.28,1
0.685,0.85,1.795,3.366,0.357,1
0.31,0.328,1.782,4.954,0.474,1
0.873,0.686,1.703,3.234,1.39,1
0.77,0.436,1.109,2.46,1.354,1
0.386,0.81,1.109,2.909,1.25,1
0.836,0.697,1.47,2.789,0.503,1
1.091,0.72,0.772,4.012,1.463,1
0.748,0.588,1.004,4.383,1.149,1
0.388,0.755,2.189,2.816,0.414,1
0.735,0.495,0.856,5.861,0.391,1
0.47,0.72,2.338,3.355,0.222,1
0.835,0.73,1.777,3.756,0.913,1
0.455,0.341,1.652,5.086,0.884,1
0.997,0.618,1.689,4.054,0.974,1
1.149,0.454,0.846,5.57,0.539,1
0.716,0.259,2.169,4.629,0.414,1
0.588,0.396,1.47,2.918,0.472,1
0.739,0.519,2.301,5.933,0.43,1
1.057,0.31,1.89,5.72,1.139,1
0.558,0.422,1.037,2.603,1.19,1
0.415,0.663,1.076,2.016,0.8,1
0.53,0.345,0.863,2.46,0.425,1
0.734,0.633,0.722,3.67,0.271,1
0.637,0.539,1.445,2.731,0.807,1
1.188,0.568,1.471,3.623,0.401,1
0.686,0.268,0.616,3.288,1.388,1
0.521,0.501,2.399,3.364,1.348,1
0.586,0.604,1.58,3.894,0.614,1
1.171,0.68,1.935,5.158,0.912,1
0.714,0.73,1.655,5.044,0.429,1
0.429,0.75,1.247,3.797,0.928,1
0.391,0.838,1.771,2.08,1.142,1
0.365,0.464,1.412,3.904,0.962,1
1.097,0.752,2.434,4.373,1.362,1
0.82,0.573,1.066,3.373,1.034,1
0.844,0.276,1.552,3.366,0.523,1
1.121,0.356,0.783,3.251,0.397,1
1.035,0.256,1.74,3.713,1.025,1
0.825,0.694,1.671,3.18,0.503,1
1.146,0.262,1.76,5.299,0.774,1
1.113,0.745,2.002,2.971,0.411,1
0.806,0.718,2.353,4.873,0.919,1
0.485,0.489,0.745,2.059,0.623,1
0.525,0.322,1.254,3.774,0.764,1
0.312,0.617,1.781,3.075,0.818,1
0.576,0.74,2.235,3.097,1.498,1
0.712,0.394,1.895,5.608,0.256,1
0.991,0.256,1.853,5.933,0.92,1
1.185,0.482,1.662,4.149,0.235,1
0.659,0.302,2.151,4.15,0.297,1
0.331,0.491,1.106,3.8,0.277,1
0.532,0.832,2.134,4.378,1.493,1
0.413,0.703,1.508,2.24,0.462,1
0.755,0.713,1.514,3.976,1.366,1
0.926,0.649,0.883,2.554,0.559,1
0.683,0.452,1.661,4.203,0.519,1
0.346,0.768,1.235,3.048,0.442,1
0.748,0.514,2.434,3.237,1.212,1
0.927,0.703,1.915,5.551,1.405,1
0.934,0.603,1.852,5.639,1.306,1
0.982,0.358,1.388,2.803,0.536,1
0.627,0.761,2.053,4.244,1.202,1
0.514,0.792,0.809,5.48,0.442,1
0.373,0.449,1.606,4.804,0.537,1
0.413,0.604,2.093,3.129,1.024,1
0.674,0.705,2.385,3.813,1.093,1
0.51,0.53,2.23,4.18,1.115,1
0.99,0.301,2.157,4.259,0.764,1
0.957,0.47,1.003,3.396,0.48,1
1.014,0.62,1.852,2.009,0.459,1
0.904,0.758,1.371,5.509,0.787,1
1.122,0.8,2.393,5.843,0.7,1
0.966,0.546,1.149,4.9,1.196,1
0.577,0.761,2.193,2.499,1.311,1
1.182,0.38,0.782,5.322,1.141,1
0.711,0.366,2.271,4.288,0.226,1
0.375,0.511,1.773,2.203,0.761,1
0.463,0.676,0.861,5.578,1.445,1
0.527,0.254,1.715,4.523,0.849,1
0.866,0.423,0.608,5.044,1.31,1
0.856,0.324,2.194,5.27,1.279,1
0.474,0.293,1.042,5.17,0.612,1
0.994,0.645,1.909,5.916,0.983,1
1.167,0.735,1.537,2.245,1.209,1
1.003,0.849,0.812,4.251,0.559,1
1.044,0.726,0.657,2.205,0.909,1
0.462,0.558,1.782,2.504,0.242,1
1.158,0.275,1.467,3.471,0.93,1
1.153,0.311,1.846,2.646,1.038,1
0.929,0.465,1.35,5.719,0.882,1
0.82,0.607,1.73,5.528,1.326,1
0.705,0.466,2.408,4.399,0.852,1
1.193,0.628,0.606,5.336,0.406,1
1.153,0.638,1.657,4.112,0.773,1
0.51,0.309,1.296,2.274,1.246,1
1.186,0.284,2.454,2.109,0.317,1
0.916,0.32,2.396,4.229,1.323,1
0.643,0.788,2.019,5.131,0.447,1
2.642,0.033,0.065,0.312,0.047,0
2.139,0.01,0.183,0.511,0.007,0
3.451,0.0,0.116,0.229,0.036,0
3.741,0.059,0.057,0.581,0.049,0
2.188,0.052,0.034,0.377,0.003,0
2.116,0.004,0.187,0.372,0.046,0
2.444,0.028,0.054,0.268,0.033,0
3.151,0.049,0.127,0.64,0.022,0
2.603,0.049,0.153,0.575,0.049,0
3.045,0.044,0.037,0.102,0.029,0
2.382,0.046,0.02,0.531,0.037,0
3.161,0.024,0.025,0.153,0.037,0
3.538,0.009,0.19,0.613,0.029,0
2.5,0.001,0.084,0.786,0.049,0
3.346,0.02,0.03,0.221,0.034,0
3.364,0.035,0.021,0.359,0.029,0
3.85,0.073,0.053,0.359,0.01,0
2.942,0.036,0.186,0.549,0.046,0
2.591,0.054,0.079,0.282,0.037,0
2.22,0.024,0.031,0.787,0.009,0
2.335,0.044,0.148,0.337,0.039,0
2.779,0.066,0.037,0.205,0.037,0
2.008,0.038,0.132,0.74,0.006,0
3.861,0.005,0.102,0.591,0.002,0
2.717,0.017,0.175,0.146,0.034,0
2.99,0.034,0.106,0.458,0.037,0
3.629,0.076,0.156,0.702,0.025,0
3.53,0.053,0.099,0.197,0.035,0
2.032,0.0,0.083,0.416,0.021,0
2.074,0.024,0.027,0.422,0.015,0
3.126,0.018,0.05,0.159,0.009,0
3.013,0.046,0.019,0.14,0.031,0
2.838,0.059,0.079,0.174,0.041,0
2.612,0.062,0.192,0.558,0.028,0
2.354,0.041,0.18,0.143,0.01,0
2.467,0.048,0.151,0.694,0.003,0
3.36,0.008,0.127,0.362,0.013,0
2.442,0.009,0.109,0.317,0.006,0
3.633,0.002,0.053,0.474,0.043,0
3.775,0.074,0.165,0.505,0.032,0
3.25,0.07,0.059,0.633,0.01,0
3.49,0.079,0.027,0.739,0.018,0
2.882,0.016,0.177,0.688,0.043,0
2.243,0.01,0.056,0.138,0.032,0
3.814,0.071,0.19,0.735,0.045,0
3.354,0.027,0.179,0.369,0.018,0
3.955,0.029,0.078,0.377,0.04,0
3.293,0.05,0.051,0.409,0.012,0
2.353,0.067,0.157,0.632,0.008,0
3.322,0.009,0.038,0.563,0.034,0
2.875,0.069,0.109,0.363,0.029,0
2.321,0.009,0.065,0.747,0.035,0
2.951,0.055,0.059,0.239,0.036,0
3.822,0.039,0.198,0.207,0.021,0
3.558,0.02,0.051,0.332,0.034,0
3.998,0.013,0.191,0.556,0.027,0
2.725,0.073,0.08,0.147,0.023,0
2.465,0.012,0.115,0.445,0.031,0
3.035,0.049,0.038,0.232,0.011,0
3.0,0.065,0.011,0.767,0.004,0
2.888,0.052,0.156,0.737,0.029,0
2.767,0.039,0.115,0.548,0.001,0
2.006,0.04,0.06,0.251,0.04,0
3.734,0.031,0.189,0.237,0.037,0
2.401,0.033,0.088,0.518,0.0,0
2.508,0.014,0.182,0.425,0.001,0
2.391,0.046,0.084,0.358,0.037,0
2.495,0.038,0.083,0.126,0.004,0
2.808,0.001,0.13,0.496,0.031,0
2.073,0.077,0.159,0.172,0.017,0
2.052,0.07,0.09,0.592,0.03,0
2.549,0.056,0.076,0.559,0.047,0
2.353,0.033,0.199,0.353,0.014,0
2.161,0.04,0.171,0.731,0.031,0
2.61,0.005,0.186,0.337,0.013,0
3.186,0.07,0.131,0.461,0.038,0
2.8,0.051,0.032,0.655,0.033,0
2.805,0.016,0.161,0.663,0.005,0
3.097,0.039,0.1,0.502,0.021,0
3.548,0.074,0.132,0.172,0.017,0
3.727,0.004,0.186,0.44,0.003,0
3.265,0.078,0.157,0.556,0.044,0
3.358,0.05,0.048,0.751,0.018,0
3.547,0.068,0.15,0.4,0.039,0
2.771,0.017,0.139,0.151,0.013,0
2.331,0.067,0.185,0.107,0.029,0
3.251,0.019,0.066,0.671,0.034,0
3.428,0.0,0.165,0.505,0.036,0
3.379,0.008,0.099,0.444,0.021,0
2.319,0.042,0.107,0.538,0.012,0
2.23,0.028,0.191,0.16,0.031,0
3.599,0.013,0.065,0.669,0.049,0
3.896,0.003,0.061,0.766,0.026,0
2.678,0.062,0.185,0.179,0.013,0
2.694,0.026,0.124,0.679,0.022,0
2.235,0.043,0.034,0.67,0.037,0
2.076,0.016,0.187,0.675,0.047,0
3.813,0.076,0.157,0.64,0.001,0
3.72,0.016,0.16,0.633,0.022,0
2.316,0.047,0.072,0.415,0.008,0
3.155,0.039,0.118,0.162,0.043,0
2.711,0.066,0.115,0.23,0.041,0
3.731,0.018,0.045,0.499,0.019,0
3.558,0.073,0.065,0.368,0.021,0
2.728,0.035,0.074,0.656,0.028,0
3.753,0.037,0.11,0.394,0.047,0
3.346,0.043,0.014,0.798,0.041,0
2.86,0.01,0.112,0.356,0.001,0
2.327,0.06,0.094,0.341,0.039,0
3.485,0.05,0.077,0.527,0.003,0
3.478,0.042,0.156,0.262,0.029,0
3.547,0.033,0.137,0.124,0.022,0
3.043,0.02,0.045,0.602,0.027,0
3.192,0.039,0.071,0.6,0.039,0
2.923,0.018,0.129,0.165,0.007,0
2.72,0.057,0.162,0.308,0.044,0
2.745,0.035,0.094,0.168,0.034,0
3.33,0.041,0.065,0.217,0.027,0
3.711,0.027,0.098,0.325,0.017,0
2.38,0.05,0.141,0.399,0.024,0
3.353,0.023,0.025,0.713,0.008,0
3.994,0.005,0.138,0.135,0.021,0
3.124,0.067,0.166,0.499,0.005,0
2.728,0.062,0.14,0.541,0.017,0
3.116,0.062,0.038,0.759,0.03,0
3.606,0.007,0.118,0.465,0.027,0
2.763,0.052,0.178,0.31,0.034,0
2.17,0.051,0.192,0.387,0.03,0
3.181,0.062,0.169,0.796,0.028,0
3.872,0.038,0.116,0.347,0.002,0
2.928,0.012,0.167,0.167,0.017,0
2.479,0.02,0.077,0.52,0.01,0
